id,article,name,unit_id,price,supplier_id,manufacturer_id,category_id,discount,stock_quantity,description,image_path
1,А112Т4,Прихожая Фаворит 1 1420х2056х352ммм Дуб Делано/Цемент Светлый SV-М 1 шт,1,9577,1,1,1,10,0,"Удивительно функциональная и практичная прихожая Фаворит 1, обладая характерными чертами Скандинавского стиля, выглядит эффектно и способна задать тон интерьеру дома, встречая вас и ваших гостей.",1.jpg
2,G843H5,"Прихожая в коридор Твист с зеркалом мебель со шкафами, 120х37х202 см",1,8803,1,2,1,25,9,"Этот стеллаж со шкафом в прихожую комнату станет отличным элементом для вашего интерьера. Мебель для дома обеспечивает удобное хранение перчаток, шапок, зонтов, сумок и других аксессуаров.",2.jpg
3,D325D4,"Угловой диван Кромма Инвуд Лайт, серый двухместный диван, Velutto 32",1,29125,2,3,2,5,12,Угловой диван Инвуд Лайт 2 - стильный и комфортный диван подойдет для комнаты любого размера.,3.jpg
4,S432T5,"Обувница RIDBERG, с вешалкой, стальная, 170x60x26 см, 5 полок, вместимость до 15 пар",1,885,2,4,3,15,15,Обувница Ridberg с 5 полками и вешалкой - идеальное решение для организации хранения обуви в прихожей или гардеробной.,4.jpg
5,F325D4,"Диван, Прямой диван, Диван-кровать Сити темно-коричневый. Квест-33",1,14322,3,3,2,18,3,Прямой диван-кровать Сити - это современное и функциональное решение для вашего дома.,5.jpg
6,G432G6,Пуф трансформер кровать раскладушка светло-коричневый велюр,1,6149,4,3,4,22,3,"Пуф трансформер 5в1 представляет собой уникальное сочетание функций, выступая в качестве пуфика, столика, кресла, шезлонга и дополнительного спального места.",6.jpg
7,H542F5,"Диван, Прямой диван, диван кровать, Рио симпл механизм Пантограф. Симпл-16",1,20708,3,3,2,4,5,"Диван Рио симпл от ""Золотое Руно"" - это сочетание комфорта, функциональности и стильного дизайна.",7.jpg
8,C346F5,"Полка настенная ромб Лофт, черная, 40 см",1,2843,4,4,5,5,4,"Полочки для цветов в стиле лофт. Подойдут как для цветов, так и в качестве декоративного элемента. Полки подойдут для дома, офиса, кафе, ресторана. ​",8.jpg
9,F256G6,Стулья для кухни,1,4760,4,4,6,6,2,Набор из четырех стульев в лофт-дизайне станет любимой мебелью для отдыха и подойдет для взрослых и детей.,9.jpg
10,J532V5,"Магнитная полка, для холодильника, металл, 3шт, универсальная, чёрная",1,1387,4,4,5,8,6,"Магнитная полка для холодильника - это удобный и практичный аксессуар, который поможет организовать пространство в вашем доме.",10.jpg
